timestamp,raw_score,coverage,p4h,p8h,actual4h,actual8h
2026-01-05T17:00:00+00:00,0.111659,1.0,0.546328,0.604607,BEARISH,BEARISH
2026-01-06T17:00:00+00:00,-0.126655,1.0,0.537284,0.605468,BULLISH,BULLISH
2026-01-07T17:00:00+00:00,0.11864,1.0,0.546592,0.604581,BEARISH,BEARISH
2026-01-08T17:00:00+00:00,-0.17289,1.0,0.535527,0.605634,NEUTRAL,NEUTRAL
2026-01-09T17:00:00+00:00,0.215851,1.0,0.550273,0.60423,BULLISH,
2026-01-12T17:00:00+00:00,0.148718,1.0,0.547732,0.604473,NEUTRAL,BEARISH
2026-01-13T17:00:00+00:00,0.347203,1.0,0.555236,0.603755,BEARISH,BEARISH
2026-01-14T17:00:00+00:00,-0.101406,1.0,0.538244,0.605376,BULLISH,BULLISH
2026-01-15T17:00:00+00:00,0.474769,1.0,0.560047,0.603294,BEARISH,BEARISH
2026-01-16T17:00:00+00:00,0.153739,1.0,0.547922,0.604455,BEARISH,
2026-01-19T17:00:00+00:00,0.048398,0.7222,0.54393,0.604835,,BEARISH
2026-01-20T17:00:00+00:00,0.014263,1.0,0.542635,0.604959,BEARISH,BEARISH
2026-01-21T17:00:00+00:00,0.091346,1.0,0.545558,0.60468,BULLISH,BULLISH
2026-01-22T17:00:00+00:00,0.547476,1.0,0.562783,0.603031,NEUTRAL,BEARISH
2026-01-23T17:00:00+00:00,0.12497,1.0,0.546832,0.604559,BEARISH,
2026-01-26T17:00:00+00:00,0.352174,1.0,0.555424,0.603737,BEARISH,NEUTRAL
2026-01-27T17:00:00+00:00,0.32447,1.0,0.554378,0.603837,NEUTRAL,BULLISH
2026-01-28T17:00:00+00:00,-0.034444,1.0,0.540787,0.605135,BULLISH,BULLISH
2026-01-29T17:00:00+00:00,-0.183311,1.0,0.535131,0.605672,BULLISH,BULLISH
2026-01-30T17:00:00+00:00,0.018724,1.0,0.542805,0.604942,BEARISH,
2026-02-02T17:00:00+00:00,0.340834,1.0,0.554996,0.603778,BEARISH,BULLISH
2026-02-03T17:00:00+00:00,-0.499674,1.0,0.523082,0.606814,BEARISH,BEARISH
2026-02-04T17:00:00+00:00,-0.389834,1.0,0.527269,0.606417,BEARISH,BULLISH
2026-02-05T17:00:00+00:00,0.406579,1.0,0.557477,0.60354,BEARISH,BEARISH
2026-02-06T17:00:00+00:00,0.673256,1.0,0.567509,0.602575,BULLISH,
2026-02-09T17:00:00+00:00,0.519095,1.0,0.561716,0.603133,BEARISH,BEARISH
2026-02-10T17:00:00+00:00,-0.169759,1.0,0.535646,0.605623,BEARISH,BEARISH
2026-02-11T17:00:00+00:00,0.393009,1.0,0.556965,0.60359,BULLISH,BULLISH
2026-02-12T17:00:00+00:00,-0.667036,1.0,0.516696,0.607417,BEARISH,BEARISH
2026-02-13T17:00:00+00:00,0.367852,1.0,0.556016,0.603681,BEARISH,
2026-02-16T17:00:00+00:00,0.23093,0.7222,0.550843,0.604176,,BULLISH
2026-02-17T17:00:00+00:00,0.590055,1.0,0.564384,0.602877,BULLISH,BEARISH
2026-02-18T17:00:00+00:00,0.223133,1.0,0.550548,0.604204,BEARISH,BEARISH
2026-02-19T17:00:00+00:00,-0.012924,1.0,0.541604,0.605057,BULLISH,BULLISH
2026-02-20T17:00:00+00:00,0.167489,1.0,0.548442,0.604405,BEARISH,
2026-02-23T17:00:00+00:00,-0.343154,1.0,0.529047,0.606249,BULLISH,BULLISH
2026-02-24T17:00:00+00:00,0.401814,1.0,0.557297,0.603558,NEUTRAL,BULLISH
2026-02-25T17:00:00+00:00,0.147962,1.0,0.547703,0.604475,BULLISH,NEUTRAL
2026-02-26T17:00:00+00:00,0.133145,1.0,0.547142,0.604529,BULLISH,BULLISH
2026-02-27T17:00:00+00:00,0.016524,1.0,0.542721,0.60495,BULLISH,
2026-03-02T17:00:00+00:00,0.26069,1.0,0.551968,0.604068,NEUTRAL,BEARISH
2026-03-03T17:00:00+00:00,0.185024,1.0,0.549106,0.604342,BULLISH,BULLISH
2026-03-04T17:00:00+00:00,0.010852,1.0,0.542506,0.604971,BEARISH,BULLISH
2026-03-05T17:00:00+00:00,-0.076606,1.0,0.539186,0.605287,NEUTRAL,BULLISH
2026-03-06T17:00:00+00:00,-0.044082,1.0,0.540421,0.605169,BEARISH,
2026-03-09T17:00:00+00:00,0.445596,1.0,0.558948,0.603399,BULLISH,BULLISH
2026-03-10T17:00:00+00:00,0.142295,1.0,0.547488,0.604496,BEARISH,BEARISH
2026-03-11T17:00:00+00:00,0.058081,1.0,0.544297,0.6048,BEARISH,BEARISH
2026-03-12T17:00:00+00:00,-0.107649,1.0,0.538007,0.605399,BEARISH,BEARISH
2026-03-13T17:00:00+00:00,-0.372899,1.0,0.527914,0.606356,BEARISH,
2026-03-16T17:00:00+00:00,-0.102145,1.0,0.538216,0.605379,BEARISH,BEARISH
2026-03-17T17:00:00+00:00,0.218697,1.0,0.55038,0.60422,BULLISH,BULLISH
