timestamp,predicted,bullish_probability,bearish_probability,confidence,score,regime,data_coverage,intelligence_coverage,entry_nq,entry_bar_end,entry_staleness_min,nq_4h,nq_8h,move_4h_pct,move_8h_pct,actual_4h,actual_8h,correct_4h,correct_8h,outcome_4h_bar_end,outcome_8h_bar_end,outcome_4h_staleness_min,outcome_8h_staleness_min,news,news_articles,news_kept,news_directional,news_evidence,news_polygon_articles,news_finnhub_articles,liquidity_signal,liquidity_direction,liquidity_conflict,liquidity_resolution,liquidity_contract,liquidity_evidence,earnings,earnings_evidence,earnings_released_events,earnings_released_symbols,earnings_upcoming_events,earnings_upcoming_symbols,earnings_upcoming_within_4h,earnings_upcoming_within_8h,earnings_upcoming_mega_weight,earnings_upcoming_semi_count,earnings_hours_to_next,earnings_catalyst_risk,earnings_future_eps_used,market_available,market_requested
2025-10-10T17:00:00+00:00,BEARISH,26.1,73.9,59.6,-0.538,TREND,0.964,0.467,24658.0,2025-10-10 13:00:00-04:00,0.0,24397.0,,-1.0584800064887663,,BEARISH,,True,,2025-10-10 17:00:00-04:00,2025-10-10 17:00:00-04:00,0.0,240.0,0.4550981560565431,685,120,10,available,685,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQZ5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
2025-10-13T17:00:00+00:00,BULLISH,78.6,21.4,66.1,0.684,TREND,0.964,0.467,24948.25,2025-10-13 13:00:00-04:00,0.0,24904.5,25007.5,-0.17536300141292477,0.23749160762778954,BEARISH,BULLISH,False,True,2025-10-13 17:00:00-04:00,2025-10-13 21:00:00-04:00,0.0,0.0,0.4827740352303099,416,104,6,available,416,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQZ5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
2025-10-14T17:00:00+00:00,BEARISH,48.8,51.2,47.7,-0.025,BALANCED,0.964,0.467,24892.25,2025-10-14 13:00:00-04:00,0.0,24756.25,24798.0,-0.5463547891411986,-0.3786319035041027,BEARISH,BEARISH,True,True,2025-10-14 17:00:00-04:00,2025-10-14 21:00:00-04:00,0.0,0.0,0.6,496,104,5,available,496,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQZ5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
2025-10-15T17:00:00+00:00,BULLISH,59.6,40.4,55.8,0.197,TRANSITION,0.964,0.467,24903.0,2025-10-15 13:00:00-04:00,0.0,24941.25,24913.75,0.15359595229490422,0.04316748986065936,BULLISH,NEUTRAL,True,False,2025-10-15 17:00:00-04:00,2025-10-15 21:00:00-04:00,0.0,0.0,0.6,613,127,6,available,613,0,-1.0,BEARISH,LOW,5m_massive_futures,NQZ5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
2025-10-16T17:00:00+00:00,BULLISH,61.2,38.8,52.9,0.232,TRANSITION,0.964,0.467,24927.5,2025-10-16 13:00:00-04:00,0.0,24794.25,24779.0,-0.5345501955671448,-0.5957276100692007,BEARISH,BEARISH,False,False,2025-10-16 17:00:00-04:00,2025-10-16 21:00:00-04:00,0.0,0.0,0.43359203377264954,672,110,7,available,672,0,1.0,BULLISH,LOW,5m_massive_futures,NQZ5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
2025-10-17T17:00:00+00:00,BULLISH,54.6,45.4,48.9,0.094,BALANCED,0.964,0.467,24902.25,2025-10-17 13:00:00-04:00,0.0,24986.5,,0.33832284231344556,,BULLISH,,True,,2025-10-17 17:00:00-04:00,2025-10-17 17:00:00-04:00,0.0,240.0,0.4319199534464283,689,111,6,available,689,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQZ5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
2025-10-20T17:00:00+00:00,BULLISH,72.3,27.7,67.6,0.495,TREND,0.964,0.467,25314.5,2025-10-20 13:00:00-04:00,0.0,25326.75,25341.75,0.048391238223152735,0.10764581563925814,NEUTRAL,BULLISH,False,True,2025-10-20 17:00:00-04:00,2025-10-20 21:00:00-04:00,0.0,0.0,0.0,349,74,0,available,349,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQZ5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
2025-10-21T17:00:00+00:00,BULLISH,51.9,48.1,46.5,0.039,BALANCED,0.964,0.469,25285.5,2025-10-21 13:00:00-04:00,0.0,25265.25,25225.0,-0.08008542445274959,-0.2392675644143877,BEARISH,BEARISH,False,False,2025-10-21 17:00:00-04:00,2025-10-21 21:00:00-04:00,0.0,0.0,0.0,469,92,0,available,469,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQZ5,available,,upcoming_verified_catalyst,0,,1,NFLX,1,1,0.03,0,3.04,True,False,20,20
2025-10-22T17:00:00+00:00,BEARISH,37.4,62.6,54.1,-0.262,TRANSITION,0.964,0.469,24992.75,2025-10-22 13:00:00-04:00,0.0,25040.0,25048.5,0.18905482589951084,0.22306468875974034,BULLISH,BULLISH,False,False,2025-10-22 17:00:00-04:00,2025-10-22 21:00:00-04:00,0.0,0.0,0.3828427691166225,602,94,2,available,602,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQZ5,available,-1.0,released_verified,1,NFLX,1,TSLA,1,1,0.04,0,3.11,True,False,20,20
2025-10-23T17:00:00+00:00,BULLISH,63.0,37.0,62.1,0.27,TRANSITION,0.964,0.469,25240.0,2025-10-23 13:00:00-04:00,0.0,25278.0,25301.0,0.15055467511885895,0.2416798732171157,BULLISH,BULLISH,True,True,2025-10-23 17:00:00-04:00,2025-10-23 21:00:00-04:00,0.0,0.0,0.361892951039238,719,112,2,available,719,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQZ5,available,-1.0,released_verified,1,TSLA,1,INTC,1,1,0.0,1,3.173,True,False,20,20
